Course Number,Course Name,Number of Units,Description,Prerequisites
ANSC 119GS,"Gesture, Communication, and the Body ",4,"Interrelationships of aspects of individual personality and various aspects of sociocultural systems are considered. Relations of sociocultural contexts to motives, values, cognition, personal adjustment, stress and pathology, and qualities of personal experience are emphasized. ",upper-division standing.
ANSC 120,Anthropology of Religion ,4,"After a brief introduction to linguistic concepts, the course covers the relations between culture and language, how languages reflect culture, how languages change, language and social life, language and political policy. ",upper-division standing.
ANSC 121,Psychological Anthropology ,4,"Humans are goal seekers, some with public goals. Course considers ways goals are pursued, which are desirable, and how this pursuit is carried out at the local level with attention to the parts played by legitimacy and coercion. ",upper-division standing.
ANSC 122,Language in Society ,4,"This course introduces the concept of culture and the debates surrounding it. Cultural anthropology asks how people create meaning and order in society, how culture intersects with power, and how national and global forces impact local meanings and practices. ",upper-division standing.
ANSC 123,Political Anthropology ,4,"How are gender and sexuality shaped by cultural ideologies, social institutions, and social change? We explore their connections to such dimensions of society as kinship and family, the state, religion, and popular culture. We also examine alternative genders/sexualities cross-culturally. ",upper-division standing.
ANSC 124,Cultural Anthropology ,4,"This course examines the diversity of practices of child-rearing, socialization, and enculturation across cultures, and the role of culture in the development of personality, morality, spirituality, sexuality, emotion, and cognition. ",upper-division standing.
ANSC 125,"Gender, Sexuality, and Society ",4,"The course considers how social life is constituted and negotiated through language and interaction. How do people establish, maintain, and alter social relationships through face-to-face talk, and how do different modalities of interaction (including discourse and gesture) affect social life? ",upper-division standing or consent of instructor.
ANSC 126,Childhood and Adolescence ,4,This course examines the diversity of emotional experience in human societies and the contribution of the study of emotion to understanding culture and human nature. ,upper-division standing or consent of instructor.
ANSC 127,"Discourse, Interaction, and Social Life ",4,"This course examines the nature of healing across cultures, with special emphasis on religious and ritual healing. ",upper-division standing or consent of instructor.
ANSC 128,Culture and Emotion ,4,"An anthropological introduction to Hinduism, focusing on basic religious concepts and practices. Topics include myth, ritual, and symbolism; forms of worship; gods and goddesses; the roles of priest and renouncer; pilgrimages and festivals; the life cycle; popular Hinduism, Tantrism. ",upper-division standing.
ANSC 129,Meaning and Healing ,4,"Legal systems are central in (re)organizing social institutions, international arrangements, (in)equalities, and are an arena where linguistic practices predominate and define outcomes. With an anthropological approach to language, examine languages of the law, legal conceptions of language, and most importantly, the nature and structure of talk in a range of legal institutions and activities. Students will engage in direct anthropological fieldwork in local contexts involving the legal bureaucracy. ",upper-division standing.
